username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,163000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,54800,https://github.com/junegunn/fzf
sherlock-project,sherlock,43900,https://github.com/sherlock-project/sherlock
sharkdp,bat,43400,https://github.com/sharkdp/bat
BurntSushi,ripgrep,40500,https://github.com/BurntSushi/ripgrep
jesseduffield,lazygit,39500,https://github.com/jesseduffield/lazygit
wagoodman,dive,38800,https://github.com/wagoodman/dive
google,zx,38700,https://github.com/google/zx
chubin,cheat.sh,36200,https://github.com/chubin/cheat.sh
n8n-io,n8n,34300,https://github.com/n8n-io/n8n
spf13,cobra,33700,https://github.com/spf13/cobra
cli,cli,33500,https://github.com/cli/cli
httpie,cli,29700,https://github.com/httpie/cli
sharkdp,fd,29100,https://github.com/sharkdp/fd
alebcay,awesome-shell,28800,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,28200,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27400,https://github.com/acheong08/ChatGPT
angular,angular-cli,26200,https://github.com/angular/angular-cli
tqdm,tqdm,26000,https://github.com/tqdm/tqdm
google,python-fire,25400,https://github.com/google/python-fire
